Time (s),Velocity (m/s),Gyroscope y (rad/s)
0.000000000E0,-7.110235426E-3,-1.734203762E-1
4.196167000E-2,-8.382847505E-3,-2.044596953E-1
8.392334000E-2,-4.965800566E-3,-1.211170870E-1
1.259155270E-1,-6.347957835E-3,-1.548282399E-1
1.678771970E-1,-1.941820930E-3,-4.736148610E-2
2.098388670E-1,2.911332972E-3,7.100812127E-2
2.518310550E-1,3.823288861E-3,9.325094784E-2
2.937927250E-1,3.674356797E-3,8.961845847E-2
3.357543950E-1,2.132742489E-3,5.201810949E-2
3.777160650E-1,-4.814255658E-3,-1.174208697E-1
4.196777350E-1,-3.493665807E-3,-8.521136116E-2
4.616699220E-1,-2.882150089E-3,-7.029634364E-2
5.036621100E-1,-2.496847714E-3,-6.089872472E-2
5.456237790E-1,3.309441959E-3,8.071809656E-2
5.875854490E-1,3.123635685E-2,7.618623621E-1
6.295776370E-1,6.860998804E-2,1.673414343E0
6.715393070E-1,1.037999079E-1,2.531705071E0
7.135314940E-1,1.382781408E-1,3.372637580E0
7.554931640E-1,1.719085245E-1,4.192890840E0
7.974548340E-1,2.045858459E-1,4.989898682E0
8.394470220E-1,2.332602180E-1,5.689273610E0
8.814086920E-1,2.585228424E-1,6.305435181E0
9.233703610E-1,2.841476216E-1,6.930429795E0
9.653625490E-1,3.104894607E-1,7.572913675E0
1.007293701E0,3.440684339E-1,8.391913021E0
1.049285889E0,3.769126829E-1,9.192992266E0
1.091278076E0,4.085801957E-1,9.965370627E0
1.133239746E0,4.411264334E-1,1.075918130E1
1.175231934E0,4.686755533E-1,1.143111106E1
1.217193604E0,4.932779011E-1,1.203116832E1
1.259155274E0,5.170941144E-1,1.261205157E1
1.301147461E0,5.535685595E-1,1.350167218E1
1.343109131E0,5.956309563E-1,1.452758430E1
1.385101319E0,6.360723231E-1,1.551395910E1
1.427062988E0,6.711028227E-1,1.636836153E1
1.469024658E0,6.942407639E-1,1.693270156E1
1.511016846E0,7.250065514E-1,1.768308662E1
1.552978516E0,7.559882112E-1,1.843873686E1
1.594940186E0,7.829746130E-1,1.909694178E1
1.636932373E0,8.018657639E-1,1.955770156E1
1.678863526E0,8.348334054E-1,2.036179038E1
1.720855713E0,8.827689218E-1,2.153094931E1
1.762817383E0,9.208516271E-1,2.245979578E1
1.804809570E0,9.429514968E-1,2.299881700E1
1.846771240E0,9.721245171E-1,2.371035408E1
1.888763428E0,1.003509401E0,2.447583905E1
1.930725098E0,1.016971874E0,2.480419204E1
1.972717285E0,1.057030330E0,2.578122756E1
2.014678955E0,1.107830479E0,2.702025559E1
2.056671143E0,1.129352359E0,2.754517948E1
2.098632813E0,1.156161639E0,2.819906437E1
2.140594483E0,1.183276585E0,2.886040452E1
2.182556152E0,1.197527768E0,2.920799435E1
2.224548340E0,1.248158340E0,3.044288635E1
2.266510010E0,1.284383609E0,3.132642948E1
2.308502197E0,1.309024450E0,3.192742561E1
2.350433350E0,1.331777089E0,3.248236802E1
2.392425537E0,1.348366178E0,3.288697994E1
2.434387207E0,1.398850210E0,3.411829780E1
2.476379395E0,1.425841911E0,3.477663197E1
2.518341065E0,1.430946818E0,3.490114190E1
2.560302735E0,1.431062408E0,3.490396118E1
2.602294922E0,1.431062408E0,3.490396118E1
2.644256592E0,1.431062408E0,3.490396118E1
2.686248779E0,1.431062408E0,3.490396118E1
2.728210449E0,1.431062408E0,3.490396118E1
2.770172119E0,1.431062408E0,3.490396118E1
2.812164307E0,1.431062408E0,3.490396118E1
2.854125977E0,1.431062408E0,3.490396118E1
2.896118164E0,1.431062408E0,3.490396118E1
2.938079834E0,1.431062408E0,3.490396118E1
2.980041504E0,1.431062408E0,3.490396118E1
3.022003174E0,1.431062408E0,3.490396118E1
3.063964844E0,1.431062408E0,3.490396118E1
3.105957031E0,1.431062408E0,3.490396118E1
3.147918701E0,1.431062408E0,3.490396118E1
3.189910889E0,1.431062408E0,3.490396118E1
3.231872559E0,1.431062408E0,3.490396118E1
3.273834229E0,1.431062408E0,3.490396118E1
3.315826416E0,1.431062408E0,3.490396118E1
3.357818604E0,1.431062408E0,3.490396118E1
3.399749756E0,1.431062408E0,3.490396118E1
3.441741944E0,1.431062408E0,3.490396118E1
3.483734131E0,1.431062408E0,3.490396118E1
3.525695801E0,1.431062408E0,3.490396118E1
3.567657471E0,1.431062408E0,3.490396118E1
3.609649658E0,1.431062408E0,3.490396118E1
3.651611328E0,1.431062408E0,3.490396118E1
3.693572998E0,1.431062408E0,3.490396118E1
3.735565186E0,1.431062408E0,3.490396118E1
3.777526856E0,1.431062408E0,3.490396118E1
3.819488526E0,1.431062408E0,3.490396118E1
3.861480713E0,1.431062408E0,3.490396118E1
3.903442383E0,1.431062408E0,3.490396118E1
