"Time (s)","Velocity (m/s)","Gyroscope y (rad/s)"
0.000000000E0,1.047584534E-3,2.555084229E-2
4.196167000E-2,2.425785738E-3,5.916550580E-2
8.392334000E-2,1.408285702E-3,3.434843176E-2
1.258850100E-1,-7.923171099E-5,-1.932480756E-3
1.678771970E-1,-2.410439884E-4,-5.879121668E-3
2.098693850E-1,-1.261120067E-3,-3.075902602E-2
2.518005370E-1,-2.247633990E-3,-5.482034122E-2
2.937927250E-1,-1.011869543E-3,-2.467974494E-2
3.357543950E-1,-3.387496051E-4,-8.262185489E-3
3.777465820E-1,4.269238640E-4,1.041277717E-2
4.197082520E-1,3.417414946E-3,8.335158404E-2
4.617004400E-1,7.557741053E-4,1.843351476E-2
5.036621090E-1,-3.207909079E-4,-7.824168486E-3
5.456542970E-1,2.881855684E-4,7.028916303E-3
5.876159670E-1,7.711567598E-4,1.880870146E-2
6.295776370E-1,1.487959020E-3,3.629168342E-2
6.715698240E-1,-1.076013004E-3,-2.624421961E-2
7.135314940E-1,1.320884256E-3,3.221668917E-2
7.555236820E-1,-1.302152746E-3,-3.175982307E-2
7.974853520E-1,-4.693402459E-3,-1.144732307E-1
8.394470220E-1,-1.489688649E-3,-3.633386949E-2
8.814392090E-1,2.036880583E-2,4.968001422E-1
9.233703610E-1,6.505696285E-2,1.586755192E0
9.653625490E-1,1.083807005E-1,2.643431720E0
1.007324219E0,1.518356323E-1,3.703308105E0
1.049316406E0,1.951620932E-1,4.760051054E0
1.091278076E0,2.357368990E-1,5.749680463E0
1.133239746E0,2.738144522E-1,6.678401274E0
1.175231934E0,3.098085758E-1,7.556306727E0
1.217193604E0,3.426835902E-1,8.358136345E0
1.259185791E0,3.716690010E-1,9.065097584E0
1.301177979E0,3.938922999E-1,9.607129265E0
1.343139649E0,4.189622731E-1,1.021859203E1
1.385101318E0,4.516188390E-1,1.101509364E1
1.427062988E0,4.839620846E-1,1.180395328E1
1.469055176E0,5.154421351E-1,1.257175939E1
1.511047363E0,5.423028259E-1,1.322689819E1
1.553009033E0,5.669154044E-1,1.382720498E1
1.594970703E0,5.921960243E-1,1.444380547E1
1.636932373E0,6.352655801E-1,1.549428244E1
1.678924561E0,6.784841048E-1,1.654839280E1
1.720886231E0,7.170447397E-1,1.748889609E1
1.762878418E0,7.426104907E-1,1.811245099E1
1.804840088E0,7.632871704E-1,1.861676025E1
1.846832276E0,7.946721649E-1,1.938224792E1
1.888793945E0,8.240659521E-1,2.009916956E1
1.930755615E0,8.424097308E-1,2.054657880E1
1.972747803E0,8.764820898E-1,2.137761195E1
2.014709473E0,9.265577087E-1,2.259896851E1
2.056701660E0,9.654959914E-1,2.354868272E1
2.098663330E0,9.802815561E-1,2.390930625E1
2.140625000E0,1.009958082E0,2.463312396E1
2.182617188E0,1.037982592E0,2.531664860E1
2.224578858E0,1.052115498E0,2.566135362E1
2.266540527E0,1.102417294E0,2.688822668E1
2.308502197E0,1.151470334E0,2.808464230E1
2.350494385E0,1.162743833E0,2.835960568E1
2.392456055E0,1.189879351E0,2.902144757E1
2.434448242E0,1.210494389E0,2.952425340E1
2.476409912E0,1.244546177E0,3.035478480E1
2.518402100E0,1.290084612E0,3.146547834E1
2.560363770E0,1.310820320E0,3.197122731E1
2.602325440E0,1.333901809E0,3.253419046E1
2.644317627E0,1.347847179E0,3.287432143E1
2.686279297E0,1.390323214E0,3.391032230E1
2.728271484E0,1.428385422E0,3.483866882E1
2.770233154E0,1.430851725E0,3.489882256E1
2.812225342E0,1.431062408E0,3.490396118E1
2.854187012E0,1.431062408E0,3.490396118E1
2.896148682E0,1.431062408E0,3.490396118E1
2.938110352E0,1.431062408E0,3.490396118E1
2.980072022E0,1.431062408E0,3.490396118E1
3.022064209E0,1.431062408E0,3.490396118E1
3.064056397E0,1.431062408E0,3.490396118E1
3.106018067E0,1.431062408E0,3.490396118E1
3.147979736E0,1.431062408E0,3.490396118E1
3.189971924E0,1.431062408E0,3.490396118E1
3.231933594E0,1.431062408E0,3.490396118E1
3.273925781E0,1.431062408E0,3.490396118E1
3.315887451E0,1.431062408E0,3.490396118E1
3.357849121E0,1.431062408E0,3.490396118E1
3.399810791E0,1.431062408E0,3.490396118E1
3.441802979E0,1.431062408E0,3.490396118E1
3.483795166E0,1.431062408E0,3.490396118E1
3.525756836E0,1.431062408E0,3.490396118E1
3.567749024E0,1.431062408E0,3.490396118E1
3.609680176E0,1.431062408E0,3.490396118E1
3.651672363E0,1.431062408E0,3.490396118E1
3.693634033E0,1.431062408E0,3.490396118E1
