"Time (s)","Velocity (m/s)","Gyroscope y (rad/s)"
0.000000000E0,-1.461425781E-3,-3.564453125E-2
4.199218700E-2,6.426858341E-4,1.567526425E-2
8.395385700E-2,-6.829825009E-4,-1.665810978E-2
1.259155270E-1,-1.746630500E-3,-4.260074391E-2
1.678771970E-1,-2.198836383E-3,-5.363015568E-2
2.098693840E-1,-3.216226017E-3,-7.844453699E-2
2.518310540E-1,-9.197244981E-3,-2.243230483E-1
2.938232420E-1,-6.450741936E-3,-1.573351692E-1
3.357849120E-1,3.472873463E-4,8.470423081E-3
3.777770990E-1,2.651940200E-2,6.468146829E-1
4.197387690E-1,5.883177185E-2,1.434921265E0
4.617309570E-1,9.040172622E-2,2.204920152E0
5.036926270E-1,1.221669078E-1,2.979680678E0
5.456542970E-1,1.549879357E-1,3.780193553E0
5.876464840E-1,1.895535332E-1,4.623256908E0
6.296081540E-1,2.266189961E-1,5.527292588E0
6.716003420E-1,2.674970021E-1,6.524317124E0
7.135620110E-1,3.102658970E-1,7.567460902E0
7.555236810E-1,3.483975471E-1,8.497501149E0
7.974853510E-1,3.875747025E-1,9.453041525E0
8.394775390E-1,4.168195944E-1,1.016633157E1
8.814392090E-1,4.403890596E-1,1.074119658E1
9.234313960E-1,4.575151430E-1,1.115890593E1
9.653930660E-1,4.728710435E-1,1.153344009E1
1.007385254E0,5.026528195E-1,1.225982487E1
1.049346924E0,5.379738231E-1,1.312131276E1
1.091308593E0,5.746614541E-1,1.401613303E1
1.133300781E0,6.126440618E-1,1.494253809E1
1.175262451E0,6.469038463E-1,1.577814259E1
1.217224121E0,6.816955836E-1,1.662672155E1
1.259216308E0,7.240586045E-1,1.765996596E1
1.301208496E0,7.565610863E-1,1.845270942E1
1.343170166E0,7.719863191E-1,1.882893461E1
1.385131836E0,7.810812216E-1,1.905076150E1
1.427124023E0,8.136093903E-1,1.984413147E1
1.469055175E0,8.553558538E-1,2.086233790E1
1.511047363E0,8.948850071E-1,2.182646359E1
1.553009033E0,9.318861793E-1,2.272893120E1
1.595001220E0,9.739178108E-1,2.375409295E1
1.636962890E0,9.936771617E-1,2.423602833E1
1.678955078E0,9.932199510E-1,2.422487685E1
1.720916748E0,1.027844687E0,2.506938261E1
1.762908935E0,1.076096137E0,2.624624724E1
1.804870605E0,1.111786950E0,2.711675487E1
1.846862793E0,1.157816084E0,2.823941668E1
1.888824463E0,1.172234342E0,2.859108151E1
1.930786133E0,1.168953531E0,2.851106172E1
1.972778320E0,1.209155841E0,2.949160587E1
2.014739990E0,1.252659533E0,3.055267154E1
2.056732177E0,1.295926892E0,3.160797299E1
2.098693847E0,1.311128672E0,3.197874810E1
2.140655517E0,1.307166939E0,3.188212047E1
2.182617187E0,1.345439867E0,3.281560651E1
2.224609375E0,1.395433347E0,3.403495968E1
2.266571045E0,1.428359772E0,3.483804321E1
2.308532715E0,1.429708514E0,3.487093937E1
2.350524902E0,1.430124766E0,3.488109185E1
2.392486572E0,1.431062408E0,3.490396118E1
2.434478759E0,1.431062408E0,3.490396118E1
2.476440429E0,1.431062408E0,3.490396118E1
2.518432617E0,1.431062408E0,3.490396118E1
2.560394287E0,1.431062408E0,3.490396118E1
2.602386474E0,1.431062408E0,3.490396118E1
2.644348144E0,1.431062408E0,3.490396118E1
2.686309814E0,1.431062408E0,3.490396118E1
2.728302002E0,1.431062408E0,3.490396118E1
2.770263672E0,1.431062408E0,3.490396118E1
2.812225342E0,1.431062408E0,3.490396118E1
2.854187011E0,1.431062408E0,3.490396118E1
2.896179199E0,1.431062408E0,3.490396118E1
2.938140869E0,1.431062408E0,3.490396118E1
2.980133056E0,1.431062408E0,3.490396118E1
3.022094726E0,1.431062408E0,3.490396118E1
3.064086914E0,1.431062408E0,3.490396118E1
3.106048584E0,1.431062408E0,3.490396118E1
3.148040771E0,1.431062408E0,3.490396118E1
3.190002441E0,1.431062408E0,3.490396118E1
3.231964111E0,1.431062408E0,3.490396118E1
