"Time (s)","Velocity (m/s)","Gyroscope y (rad/s)"
0.000000000E0,-2.288864983E-3,-5.582597521E-2
4.196167000E-2,-2.329846550E-3,-5.682552562E-2
8.395385800E-2,-4.337319767E-4,-1.057882870E-2
1.259155280E-1,-6.572588752E-4,-1.603070427E-2
1.679077150E-1,1.408359303E-3,3.435022691E-2
2.098693850E-1,8.970516429E-4,2.187930836E-2
2.518310550E-1,-2.020353429E-5,-4.927691291E-4
2.938232430E-1,1.277275534E-3,3.115306181E-2
3.357849120E-1,-9.733025046E-4,-2.373908548E-2
3.777771000E-1,-3.968982472E-3,-9.680445054E-2
4.197082520E-1,2.454880299E-2,5.987512925E-1
4.617004400E-1,6.520331888E-2,1.590324851E0
5.036621100E-1,1.051539495E-1,2.564730476E0
5.456542970E-1,1.469491003E-1,3.584124397E0
5.876159670E-1,1.883383403E-1,4.593618056E0
6.296081550E-1,2.241448544E-1,5.466947668E0
6.715698250E-1,2.649972103E-1,6.463346594E0
7.135314940E-1,3.008344529E-1,7.337425681E0
7.555236820E-1,3.302052765E-1,8.053787231E0
7.974853520E-1,3.566779049E-1,8.699461095E0
8.394775390E-1,3.782203558E-1,9.224886726E0
8.814392090E-1,3.970703637E-1,9.684643016E0
9.234008790E-1,4.211151455E-1,1.027110111E1
9.653930670E-1,4.544398633E-1,1.108389911E1
1.007354737E0,4.873945142E-1,1.188767108E1
1.049346924E0,5.224688433E-1,1.274314252E1
1.091278076E0,5.591976543E-1,1.363896718E1
1.133270264E0,5.918337223E-1,1.443496884E1
1.175231934E0,6.243209318E-1,1.522733980E1
1.217224121E0,6.666505378E-1,1.625976922E1
1.259185791E0,7.041731747E-1,1.717495548E1
1.301177979E0,7.283207774E-1,1.776392140E1
1.343139649E0,7.407966623E-1,1.806821127E1
1.385101319E0,7.650804273E-1,1.866049823E1
1.427062989E0,8.004502285E-1,1.952317631E1
1.469055176E0,8.390520064E-1,2.046468308E1
1.511047364E0,8.714644739E-1,2.125523107E1
1.553009034E0,9.129078477E-1,2.226604507E1
1.594970703E0,9.541402803E-1,2.327171415E1
1.636962891E0,9.652468881E-1,2.354260703E1
1.678924561E0,9.786141573E-1,2.386863798E1
1.720916748E0,1.011854086E0,2.467936796E1
1.762847901E0,1.054764296E0,2.572595843E1
1.804840088E0,1.091344138E0,2.661814970E1
1.846801758E0,1.133462987E0,2.764543870E1
1.888793946E0,1.146450216E0,2.796220039E1
1.930755616E0,1.159185545E0,2.827281817E1
1.972747803E0,1.197787249E0,2.921432316E1
2.014709473E0,1.238231119E0,3.020075899E1
2.056701660E0,1.283147771E0,3.129628709E1
2.098663330E0,1.302791715E0,3.177540768E1
2.140625000E0,1.303942764E0,3.180348206E1
2.182617188E0,1.342210466E0,3.273684064E1
2.224578858E0,1.386284532E0,3.381181784E1
2.266540528E0,1.424392924E0,3.474129082E1
2.308532715E0,1.427612057E0,3.481980627E1
2.350494385E0,1.430651346E0,3.489393526E1
2.392486573E0,1.431062408E0,3.490396118E1
2.434417725E0,1.431062408E0,3.490396118E1
2.476409912E0,1.431062408E0,3.490396118E1
2.518371582E0,1.431062408E0,3.490396118E1
2.560363770E0,1.431062408E0,3.490396118E1
2.602325440E0,1.431062408E0,3.490396118E1
2.644317627E0,1.431062408E0,3.490396118E1
2.686279297E0,1.431062408E0,3.490396118E1
2.728271485E0,1.431062408E0,3.490396118E1
2.770233155E0,1.431062408E0,3.490396118E1
2.812194825E0,1.431062408E0,3.490396118E1
2.854187012E0,1.431062408E0,3.490396118E1
2.896148682E0,1.431062408E0,3.490396118E1
2.938140869E0,1.431062408E0,3.490396118E1
2.980102539E0,1.431062408E0,3.490396118E1
3.022064209E0,1.431062408E0,3.490396118E1
3.064056397E0,1.431062408E0,3.490396118E1
3.105987549E0,1.431062408E0,3.490396118E1
3.147979737E0,1.431062408E0,3.490396118E1
3.189941407E0,1.431062408E0,3.490396118E1
3.231933594E0,1.431062408E0,3.490396118E1
3.273895264E0,1.431062408E0,3.490396118E1
3.315887451E0,1.431062408E0,3.490396118E1
3.357849121E0,1.431062408E0,3.490396118E1
3.399841309E0,1.431062408E0,3.490396118E1
3.441802979E0,1.431062408E0,3.490396118E1
3.483764649E0,1.431062408E0,3.490396118E1
3.525756836E0,1.431062408E0,3.490396118E1
3.567718506E0,1.431062408E0,3.490396118E1
