Time (s),Velocity (m/s),Gyroscope y (rad/s)
0.000000000E0,3.049850464E-4,7.438659668E-3
4.199218800E-2,9.048165714E-4,2.206869686E-2
8.395385700E-2,-4.697597728E-4,-1.145755543E-2
1.259155270E-1,6.016531552E-4,1.467446720E-2
1.678771970E-1,1.264542524E-3,3.084250057E-2
2.098693850E-1,6.529900046E-4,1.592658548E-2
2.518310550E-1,8.636734906E-4,2.106520709E-2
2.938232420E-1,2.890724631E-3,7.050547880E-2
3.357849120E-1,2.004345165E-3,4.888646743E-2
3.777771000E-1,-7.112821691E-4,-1.734834559E-2
4.197387700E-1,2.044586630E-2,4.986796660E-1
4.617309570E-1,4.526143691E-2,1.103937486E0
5.036926270E-1,7.702407927E-2,1.878636080E0
5.456848140E-1,1.124990566E-1,2.743879430E0
5.876464840E-1,1.552653755E-1,3.786960377E0
6.296386720E-1,1.893557667E-1,4.618433335E0
6.716003420E-1,2.202885186E-1,5.372890697E0
7.135620120E-1,2.481794057E-1,6.053156236E0
7.555541990E-1,2.763040502E-1,6.739123176E0
7.975158690E-1,3.013071935E-1,7.348955940E0
8.394775390E-1,3.238979097E-1,7.899949018E0
8.814697270E-1,3.480403972E-1,8.488790175E0
9.234313960E-1,3.813213591E-1,9.300520953E0
9.654235840E-1,4.244962751E-1,1.035356768E1
1.007385254E0,4.680975261E-1,1.141701283E1
1.049377441E0,5.073312809E-1,1.237393368E1
1.091339111E0,5.425031684E-1,1.323178460E1
1.133331299E0,5.703864378E-1,1.391186434E1
1.175292969E0,5.920495947E-1,1.444023402E1
1.217285156E0,6.260062157E-1,1.526844429E1
1.259246826E0,6.547732517E-1,1.597007931E1
1.301208496E0,6.811560130E-1,1.661356129E1
1.343200684E0,7.023002813E-1,1.712927515E1
1.385162354E0,7.286367843E-1,1.777162888E1
1.427154541E0,7.760277252E-1,1.892750549E1
1.469116211E0,8.189866216E-1,1.997528345E1
1.511077881E0,8.490665193E-1,2.070893950E1
1.553039551E0,8.707400540E-1,2.123756229E1
1.595031738E0,9.022995938E-1,2.200730716E1
1.637023926E0,9.274338576E-1,2.262033799E1
1.678985596E0,9.418442769E-1,2.297181163E1
1.720947266E0,9.862806441E-1,2.405562547E1
1.762939453E0,1.037278486E0,2.529947528E1
1.804901123E0,1.059270567E0,2.583586749E1
1.846893311E0,1.085262911E0,2.646982709E1
1.888854980E0,1.115224494E0,2.720059743E1
1.930847168E0,1.121272380E0,2.734810683E1
1.972808838E0,1.172218959E0,2.859070632E1
2.014801025E0,1.217670030E0,2.969926901E1
2.056762695E0,1.234929736E0,3.012023746E1
2.098724365E0,1.258540418E0,3.069610775E1
2.140686035E0,1.269932157E0,3.097395504E1
2.182678223E0,1.311632252E0,3.199103052E1
2.224639893E0,1.362054679E0,3.322084584E1
2.266632080E0,1.379342575E0,3.364250183E1
2.308624268E0,1.400877371E0,3.416774077E1
2.350585938E0,1.407641986E0,3.433273136E1
2.392547607E0,1.431059832E0,3.490389835E1
2.434539795E0,1.431062408E0,3.490396118E1
2.476501465E0,1.431062408E0,3.490396118E1
2.518493652E0,1.431062408E0,3.490396118E1
2.560455322E0,1.431062408E0,3.490396118E1
2.602447510E0,1.431062408E0,3.490396118E1
2.644409180E0,1.431062408E0,3.490396118E1
2.686401367E0,1.431062408E0,3.490396118E1
2.728363037E0,1.431062408E0,3.490396118E1
2.770324707E0,1.431062408E0,3.490396118E1
2.812286377E0,1.431062408E0,3.490396118E1
2.854278564E0,1.431062408E0,3.490396118E1
2.896240234E0,1.431062408E0,3.490396118E1
2.938232422E0,1.431062408E0,3.490396118E1
2.980194092E0,1.431062408E0,3.490396118E1
3.022186279E0,1.431062408E0,3.490396118E1
3.064147949E0,1.431062408E0,3.490396118E1
3.106140137E0,1.431062408E0,3.490396118E1
3.148101807E0,1.431062408E0,3.490396118E1
3.190093994E0,1.431062408E0,3.490396118E1
3.232055664E0,1.431062408E0,3.490396118E1
3.274047852E0,1.431062408E0,3.490396118E1
3.316009521E0,1.431062408E0,3.490396118E1
3.358001709E0,1.431062408E0,3.490396118E1
3.399963379E0,1.431062408E0,3.490396118E1
3.441925049E0,1.431062408E0,3.490396118E1
3.483886719E0,1.431062408E0,3.490396118E1
