Time (s),Velocity (m/s),Gyroscope y (rad/s)
0.000000000E0,-4.249388801E-3,-1.036436293E-1
4.196167000E-2,-2.134619320E-3,-5.206388586E-2
8.392334000E-2,-2.638125251E-3,-6.434451832E-2
1.259155270E-1,-5.376900168E-3,-1.311439065E-1
1.678771970E-1,-2.173112757E-3,-5.300275017E-2
2.098693840E-1,-1.155723123E-3,-2.818836885E-2
2.518615720E-1,-1.620698817E-3,-3.952923943E-2
2.938232420E-1,-2.542995677E-3,-6.202428481E-2
3.358154290E-1,-1.903364294E-3,-4.642351936E-2
3.777770990E-1,-3.452596328E-3,-8.420966653E-2
4.197387690E-1,-3.334319171E-3,-8.132485782E-2
4.617309570E-1,2.756236806E-2,6.722528794E-1
5.036926270E-1,6.385450296E-2,1.557426901E0
5.456848140E-1,1.015030347E-1,2.475683773E0
5.876464840E-1,1.415744449E-1,3.453035242E0
6.296386720E-1,1.829714131E-1,4.462717393E0
6.716308590E-1,2.252623785E-1,5.494204353E0
7.135620110E-1,2.666003185E-1,6.502446792E0
7.555541990E-1,3.044724507E-1,7.426157334E0
7.975463860E-1,3.382262268E-1,8.249420166E0
8.395080560E-1,3.665203382E-1,8.939520443E0
8.815002440E-1,3.931651934E-1,9.589394962E0
9.234619140E-1,4.135130597E-1,1.008568438E1
9.654541010E-1,4.338840000E-1,1.058253659E1
1.007446289E0,4.650891131E-1,1.134363691E1
1.049377441E0,5.057204814E-1,1.233464589E1
1.091369629E0,5.439933355E-1,1.326813013E1
1.133361816E0,5.759665877E-1,1.404796555E1
1.175323486E0,6.075981095E-1,1.481946609E1
1.217315674E0,6.345718886E-1,1.547736314E1
1.259277343E0,6.763413526E-1,1.649613055E1
1.301269531E0,7.138563349E-1,1.741113012E1
1.343231201E0,7.414286759E-1,1.808362624E1
1.385192871E0,7.560369720E-1,1.843992615E1
1.427185058E0,7.808653493E-1,1.904549632E1
1.469177246E0,8.237139911E-1,2.009058515E1
1.511138916E0,8.572724663E-1,2.090908454E1
1.553131103E0,8.825325147E-1,2.152518328E1
1.595092773E0,9.252423814E-1,2.256688735E1
1.637084961E0,9.641523644E-1,2.351591133E1
1.679046631E0,9.776943629E-1,2.384620397E1
1.721008301E0,9.962746223E-1,2.429938103E1
1.763000488E0,1.042599266E0,2.542925038E1
1.804962158E0,1.069816996E0,2.609309746E1
1.846954345E0,1.104015213E0,2.692720032E1
1.888916015E0,1.146668591E0,2.796752660E1
1.930908203E0,1.155917504E0,2.819310985E1
1.972900390E0,1.179559172E0,2.876973590E1
2.014862060E0,1.222194296E0,2.980961699E1
2.056823730E0,1.246067146E0,3.039188161E1
2.098815918E0,1.288954207E0,3.143790750E1
2.140777588E0,1.304520681E0,3.181757759E1
2.182769775E0,1.320639753E0,3.221072567E1
2.224731445E0,1.362840851E0,3.324002075E1
2.266723633E0,1.388213951E0,3.385887685E1
2.308685302E0,1.427522190E0,3.481761439E1
2.350677490E0,1.430278850E0,3.488485000E1
2.392639160E0,1.431062408E0,3.490396118E1
2.434631347E0,1.431062408E0,3.490396118E1
2.476593017E0,1.431062408E0,3.490396118E1
2.518585205E0,1.431062408E0,3.490396118E1
2.560546875E0,1.431062408E0,3.490396118E1
2.602539062E0,1.431062408E0,3.490396118E1
2.644500732E0,1.431062408E0,3.490396118E1
2.686492920E0,1.431062408E0,3.490396118E1
2.728454590E0,1.431062408E0,3.490396118E1
2.770446777E0,1.431062408E0,3.490396118E1
2.812408447E0,1.431062408E0,3.490396118E1
2.854400634E0,1.431062408E0,3.490396118E1
2.896362304E0,1.431062408E0,3.490396118E1
2.938354492E0,1.431062408E0,3.490396118E1
2.980316162E0,1.431062408E0,3.490396118E1
3.022308349E0,1.431062408E0,3.490396118E1
3.064270019E0,1.431062408E0,3.490396118E1
3.106231689E0,1.431062408E0,3.490396118E1
3.148223877E0,1.431062408E0,3.490396118E1
3.190216064E0,1.431062408E0,3.490396118E1
3.232177734E0,1.431062408E0,3.490396118E1
3.274169922E0,1.431062408E0,3.490396118E1
3.316131592E0,1.431062408E0,3.490396118E1
3.358123779E0,1.431062408E0,3.490396118E1
