Time (s),Velocity (m/s),Gyroscope y (rad/s)
0.000000000E0,-5.275563558E-3,-1.286722819E-1
4.202270500E-2,-6.965508854E-3,-1.698904598E-1
8.398437500E-2,-5.400894165E-3,-1.317291260E-1
1.259765620E-1,-3.296819350E-3,-8.041022806E-2
1.679382320E-1,-4.352702421E-3,-1.061634737E-1
2.099304200E-1,2.186051851E-2,5.331833783E-1
2.518920900E-1,5.245672877E-2,1.279432409E0
2.938842770E-1,8.894663014E-2,2.169430003E0
3.358459470E-1,1.210046342E-1,2.951332541E0
3.778381350E-1,1.463032128E-1,3.568371043E0
4.197998050E-1,1.682440302E-1,4.103512932E0
4.617919920E-1,1.869166960E-1,4.558943805E0
5.037536620E-1,2.033696226E-1,4.960234698E0
5.457458500E-1,2.205265081E-1,5.378695320E0
5.876770020E-1,2.410747169E-1,5.879871144E0
6.296691890E-1,2.674883540E-1,6.524106194E0
6.716308590E-1,2.965713232E-1,7.233446907E0
7.136535640E-1,3.246034510E-1,7.917157341E0
7.556152340E-1,3.522811154E-1,8.592222326E0
7.976074220E-1,3.818907381E-1,9.314408246E0
8.395690920E-1,4.152000364E-1,1.012683016E1
8.815612790E-1,4.494830789E-1,1.096300192E1
9.235229490E-1,4.841436220E-1,1.180838102E1
9.655151370E-1,5.299261923E-1,1.292502908E1
1.007476807E0,5.879199407E-1,1.433951075E1
1.049438477E0,6.358811807E-1,1.550929709E1
1.091430664E0,6.635845319E-1,1.618498858E1
1.133392334E0,6.727231167E-1,1.640788090E1
1.175384521E0,6.834673489E-1,1.666993534E1
1.217376709E0,7.062250294E-1,1.722500072E1
1.259307861E0,7.325898689E-1,1.786804558E1
1.301300049E0,7.671553560E-1,1.871110624E1
1.343261719E0,8.087810400E-1,1.972636683E1
1.385253906E0,8.754458214E-1,2.135233711E1
1.427246094E0,9.201441722E-1,2.244254079E1
1.469207764E0,9.248611271E-1,2.255758847E1
1.511199951E0,9.296166858E-1,2.267357770E1
1.553161621E0,9.524257768E-1,2.322989699E1
1.595153809E0,9.841138243E-1,2.400277620E1
1.637115478E0,1.033130984E0,2.519831669E1
1.679107666E0,1.106899424E0,2.699754693E1
1.721069336E0,1.122445510E0,2.737671976E1
1.763061523E0,1.111346667E0,2.710601627E1
1.805023193E0,1.132390801E0,2.761928783E1
1.847015381E0,1.164202241E0,2.839517661E1
1.888977051E0,1.232277369E0,3.005554558E1
1.930938721E0,1.285310174E0,3.134902864E1
1.972930908E0,1.268782727E0,3.094592016E1
2.014892578E0,1.273152872E0,3.105250908E1
2.056884766E0,1.306667702E0,3.186994396E1
2.098876953E0,1.380667471E0,3.367481636E1
2.140838623E0,1.421283383E0,3.466544836E1
2.182800293E0,1.398751695E0,3.411589499E1
2.224792480E0,1.410138318E0,3.439361752E1
2.266784668E0,1.430791740E0,3.489735951E1
2.308746338E0,1.431169388E0,3.490657043E1
2.350738525E0,1.431169388E0,3.490657043E1
2.392700195E0,1.431169388E0,3.490657043E1
2.434661865E0,1.431169388E0,3.490657043E1
2.476654053E0,1.431169388E0,3.490657043E1
2.518646240E0,1.431169388E0,3.490657043E1
2.560607910E0,1.431169388E0,3.490657043E1
2.602569580E0,1.431169388E0,3.490657043E1
2.644531250E0,1.431169388E0,3.490657043E1
2.686523437E0,1.431169388E0,3.490657043E1
2.728515625E0,1.431169388E0,3.490657043E1
2.770477295E0,1.431169388E0,3.490657043E1
2.812469482E0,1.431169388E0,3.490657043E1
2.854461670E0,1.431169388E0,3.490657043E1
2.896423340E0,1.431169388E0,3.490657043E1
2.938385010E0,1.431169388E0,3.490657043E1
2.980377197E0,1.431169388E0,3.490657043E1
3.022338867E0,1.431169388E0,3.490657043E1
3.064331055E0,1.431169388E0,3.490657043E1
3.106292725E0,1.431169388E0,3.490657043E1
