Time (s),Velocity (m/s),Gyroscope y (rad/s)
0.000000000E0,2.280106439E-3,5.561235216E-2
4.199218700E-2,1.164224064E-3,2.839570887E-2
8.395385700E-2,-1.674758911E-3,-4.084777832E-2
1.259460450E-1,9.381947237E-4,2.288279814E-2
1.679077150E-1,3.191312005E-3,7.783687816E-2
2.098999020E-1,5.395668479E-3,1.316016702E-1
2.518615720E-1,4.779074276E-3,1.165627872E-1
2.938537590E-1,2.428324980E-3,5.922743853E-2
3.357849120E-1,7.428570916E-4,1.811846565E-2
3.777770990E-1,-1.322761087E-3,-3.226246553E-2
4.197387690E-1,-1.849377800E-3,-4.510677562E-2
4.617309570E-1,2.358919031E-5,5.753461052E-4
5.036926270E-1,2.240358510E-2,5.464289048E-1
5.456848140E-1,6.090504456E-2,1.485488892E0
5.876464840E-1,9.718687529E-2,2.370411592E0
6.296081540E-1,1.319065570E-1,3.217233097E0
6.716003420E-1,1.633351234E-1,3.983783498E0
7.135620110E-1,1.917912678E-1,4.677835801E0
7.555541990E-1,2.161727385E-1,5.272505816E0
7.975158690E-1,2.370729083E-1,5.782266056E0
8.394775390E-1,2.535181436E-1,6.183369356E0
8.814697260E-1,2.680801813E-1,6.538541008E0
9.234313960E-1,2.848028932E-1,6.946412030E0
9.653930660E-1,3.079381849E-1,7.510687435E0
1.007354736E0,3.361245440E-1,8.198159611E0
1.049346924E0,3.662942720E-1,8.934006635E0
1.091308593E0,3.975559477E-1,9.696486529E0
1.133270263E0,4.332030783E-1,1.056592874E1
1.175262451E0,4.705844745E-1,1.147767011E1
1.217254638E0,5.081327981E-1,1.239348288E1
1.259216308E0,5.497097949E-1,1.340755597E1
1.301177978E0,6.009646158E-1,1.465767356E1
1.343170166E0,6.463848841E-1,1.576548498E1
1.385131836E0,6.761666601E-1,1.649186976E1
1.427093506E0,6.870625476E-1,1.675762311E1
1.469085693E0,6.920056422E-1,1.687818639E1
1.511047363E0,7.126412156E-1,1.738149306E1
1.553009033E0,7.456472769E-1,1.818651895E1
1.595001220E0,7.855874562E-1,1.916066966E1
1.636962890E0,8.285414213E-1,2.020832735E1
1.678924560E0,8.845543769E-1,2.157449700E1
1.720916748E0,9.280555671E-1,2.263550164E1
1.762878418E0,9.289136837E-1,2.265643131E1
1.804870605E0,9.285309206E-1,2.264709562E1
1.846832275E0,9.571668360E-1,2.334553259E1
1.888793945E0,9.990057059E-1,2.436599283E1
1.930786133E0,1.052752701E0,2.567689514E1
1.972747802E0,1.110908372E0,2.709532614E1
2.014739990E0,1.123003996E0,2.739034137E1
2.056701660E0,1.109829268E0,2.706900653E1
2.098663330E0,1.139508296E0,2.779288528E1
2.140655517E0,1.184887532E0,2.889969590E1
2.182617187E0,1.248849529E0,3.045974462E1
2.224578857E0,1.290051234E0,3.146466423E1
2.266571045E0,1.264952998E0,3.085251214E1
2.308502197E0,1.283610317E0,3.130756872E1
2.350494384E0,1.331186145E0,3.246795475E1
2.392456054E0,1.402195422E0,3.419988834E1
2.434448242E0,1.423123818E0,3.471033702E1
2.476409912E0,1.399803456E0,3.414154771E1
2.518402099E0,1.424398039E0,3.474141558E1
2.560363769E0,1.431062408E0,3.490396118E1
2.602355957E0,1.431062408E0,3.490396118E1
2.644317627E0,1.431062408E0,3.490396118E1
2.686279297E0,1.431062408E0,3.490396118E1
2.728271484E0,1.431062408E0,3.490396118E1
2.770233154E0,1.431062408E0,3.490396118E1
2.812225342E0,1.431062408E0,3.490396118E1
2.854187011E0,1.431062408E0,3.490396118E1
2.896148681E0,1.431062408E0,3.490396118E1
2.938140869E0,1.431062408E0,3.490396118E1
2.980102539E0,1.431062408E0,3.490396118E1
3.022064209E0,1.431062408E0,3.490396118E1
3.064025879E0,1.431062408E0,3.490396118E1
3.106018066E0,1.431062408E0,3.490396118E1
3.147979736E0,1.431062408E0,3.490396118E1
3.189971924E0,1.431062408E0,3.490396118E1
3.231933593E0,1.431062408E0,3.490396118E1
3.273925781E0,1.431062408E0,3.490396118E1
3.315887451E0,1.431062408E0,3.490396118E1
3.357849121E0,1.431062408E0,3.490396118E1
3.399841308E0,1.431062408E0,3.490396118E1
3.441802978E0,1.431062408E0,3.490396118E1
3.483764648E0,1.431062408E0,3.490396118E1
3.525756836E0,1.431062408E0,3.490396118E1
3.567718506E0,1.431062408E0,3.490396118E1
3.609710693E0,1.431062408E0,3.490396118E1
3.651672363E0,1.431062408E0,3.490396118E1
3.693634033E0,1.431062408E0,3.490396118E1
3.735595703E0,1.431062408E0,3.490396118E1
3.777587890E0,1.431062408E0,3.490396118E1
3.819549560E0,1.431062408E0,3.490396118E1
3.861511230E0,1.431062408E0,3.490396118E1
